name,profession,age,has_kids,date_of_birth,date_of_death
David Bowie,musician,69,TRUE,1947-01-08T00:00:00Z,2016-01-10T00:00:00Z
Carrie Fisher,actor,60,TRUE,1956-10-21T00:00:00Z,2016-12-27T00:00:00Z
Chuck Berry,musician,90,TRUE,1926-10-18T00:00:00Z,2017-03-18T00:00:00Z
Bill Paxton,actor,61,TRUE,1955-05-17T00:00:00Z,2017-02-25T00:00:00Z
Prince,musician,57,TRUE,1958-06-07T00:00:00Z,2016-04-21T00:00:00Z
Alan Rickman,actor,69,FALSE,1946-02-21T00:00:00Z,2016-01-14T00:00:00Z
Florence Henderson,actor,82,TRUE,1934-02-14T00:00:00Z,2016-11-24T00:00:00Z
Harper Lee,author,89,FALSE,1926-04-28T00:00:00Z,2016-02-19T00:00:00Z
Zsa Zsa Gábor,actor,99,TRUE,1917-02-06T00:00:00Z,2016-12-18T00:00:00Z
George Michael,musician,53,FALSE,1963-06-25T00:00:00Z,2016-12-25T00:00:00Z
